,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
54,2F6EB85DA7DA06D0523846692010C631,B016CE8A97FD71A9483EB9CA85375A43,VTS,1,,2013-01-13 12:53:00,2013-01-13 12:57:00,1,240,1.24,-74.004257,40.747738,-73.99717700000001,40.757294,CSH,5.5,0.0,0.5,0.0,0.0,6.0
55,9666F80B89233169D19E01CF53EE3411,D23DE3F6826315ED8649A385BEA9CD60,VTS,1,,2013-01-13 12:45:00,2013-01-13 13:00:00,1,900,1.94,-73.986176,40.730971999999994,-73.991135,40.750729,CSH,11.5,0.0,0.5,0.0,0.0,12.0
56,13683251AA78850A5D987D4FDB3054DC,62AE243FE20A7EFDCF1898546E86AC64,VTS,1,,2013-01-13 13:01:00,2013-01-13 13:13:00,1,720,2.77,-74.011101,40.710361,-73.99189799999999,40.743782,CSH,11.0,0.0,0.5,0.0,0.0,11.5
57,C8F58E794634EF57DD3E6A296978283C,5F4317BBA0D343A4C7BC4AB0AC962CA4,VTS,1,,2013-01-13 14:13:00,2013-01-13 14:21:00,1,480,1.09,-74.007645,40.731781,-73.993378,40.73587,CSH,6.5,0.0,0.5,0.0,0.0,7.0
58,75B0911E2A83792B6B5CBE9B97EE762F,520539C30FDD0EB66C69D4BF0B6CC405,VTS,1,,2013-01-13 14:18:00,2013-01-13 14:28:00,1,600,1.84,-73.991096,40.770466,-73.96521,40.76593,CSH,9.0,0.0,0.5,0.0,0.0,9.5
59,6012F4F3E8D7319D17F39FBBA0926189,B04E12451AD230966237D0F6C4B8E16E,VTS,1,,2013-01-13 12:35:00,2013-01-13 12:39:00,3,240,0.98,-73.98665600000001,40.74538,-73.989914,40.735561,CRD,5.5,0.0,0.5,1.1,0.0,7.1
60,03433D4310F10E0DFA32737C788035B1,72E89C102B4BEDC22BC6C8365A163FB2,VTS,1,,2013-01-13 12:25:00,2013-01-13 12:40:00,1,900,3.13,-73.971001,40.798443,-73.981323,40.767246,CSH,13.0,0.0,0.5,0.0,0.0,13.5
61,DAD7923E41ED7638252B1FBB11C5B36A,449D3FC470C4B6BA8F8150A49BE289F3,VTS,1,,2013-01-13 10:20:00,2013-01-13 10:23:00,1,180,0.66,-73.965744,40.771397,-73.96041899999999,40.778503,CSH,4.0,0.0,0.5,0.0,0.0,4.5
62,0D4B3E71547B99FC7CF97E878AC84592,DA77E53CAC669E67B42EA3430A9D4E36,VTS,1,,2013-01-13 15:03:00,2013-01-13 15:06:00,3,180,0.62,-73.98406999999999,40.746513,-73.987411,40.749527,CRD,4.5,0.0,0.5,1.12,0.0,6.12
63,4C1D6A9F8D5D625AC9921DFBA95B3017,CED014688026F057A13FE44A4CE682A8,VTS,1,,2013-01-13 14:57:00,2013-01-13 15:05:00,1,480,1.08,-73.98363499999999,40.729935,-73.994476,40.724090999999994,CRD,7.0,0.0,0.5,1.0,0.0,8.5
64,F1A1B77F3E88046C75D841D669323DFD,FAA0D3EB8937A9655A153D1FB3EABB30,VTS,1,,2013-01-13 14:47:00,2013-01-13 15:02:00,2,900,3.3,-73.999939,40.726807,-73.98909,40.757729,CRD,13.0,0.0,0.5,2.6,0.0,16.1
65,57C1D8BB16ED685B9564402E81DFB7B4,AD92F2E7CC9E6C684AAB418F789B919E,VTS,1,,2013-01-13 14:54:00,2013-01-13 15:05:00,2,660,1.44,-73.97538,40.745602000000005,-73.996101,40.755806,CRD,8.5,0.0,0.5,1.0,0.0,10.0
66,DBE7422E79192B5F654FE1FE02526125,548B0C0522E0DAF0E12C1ED9E33CAEDA,VTS,1,,2013-01-13 08:38:00,2013-01-13 08:43:00,1,300,1.6,-73.956863,40.779922,-73.950142,40.79723,CSH,6.5,0.0,0.5,0.0,0.0,7.0
67,70F6997B4ECEFED9AA997E159540354E,24644CEDC8FEA13501F4EA1203286BC7,VTS,1,,2013-01-13 15:06:00,2013-01-13 15:21:00,1,900,3.38,-73.998924,40.722851,-73.983727,40.760212,CRD,13.0,0.0,0.5,3.25,0.0,16.75
68,1E4B72A8E623888F53A9693C364AC05A,06545280CEF9EE7070FD95246E6479C8,VTS,1,,2013-01-13 10:06:00,2013-01-13 10:22:00,5,960,9.48,-73.977814,40.738251,-73.864273,40.768127,CSH,27.0,0.0,0.5,0.0,4.8,32.3
69,034BF986CBF876AE48C633CB96653F5F,D6C469E0E2352E6F6A79E909D6BEAC8B,VTS,1,,2013-01-13 14:23:00,2013-01-13 14:30:00,2,420,1.32,-73.988663,40.731232,-74.001343,40.726456,CSH,7.0,0.0,0.5,0.0,0.0,7.5
70,30F1FD16CF979D5DF95162E0A414B424,ABBFF82CBA3728394BA71FEE7567EC1A,VTS,1,,2013-01-13 13:07:00,2013-01-13 13:23:00,5,960,3.99,-73.987183,40.718357,-73.96566,40.686909,CSH,15.0,0.0,0.5,0.0,0.0,15.5
71,6DAC64C4E6C054175093672F2375A27E,8D56DE900266850835B86C847BC87A4D,VTS,1,,2013-01-13 14:48:00,2013-01-13 15:06:00,1,1080,10.6,-73.966164,40.754063,-73.86547900000001,40.770893,CSH,29.5,0.0,0.5,0.0,4.8,34.8
72,653E06BE3E64CF54525CE5FFB5BA5EAA,927F479C62EF3F6CC7665B2E6B9C92D4,VTS,1,,2013-01-13 14:51:00,2013-01-13 15:04:00,1,780,2.11,-73.99247700000001,40.748340999999996,-73.98738900000001,40.770607,CRD,11.0,0.0,0.5,2.2,0.0,13.7
73,B6B91A6B88A368EDB9E76A8A44B3176F,140EF639D5DBE1BDAABF8E9C2904B4DB,VTS,1,,2013-01-13 12:42:00,2013-01-13 12:45:00,1,180,0.58,-73.952736,40.786575,-73.956223,40.779785,CSH,4.5,0.0,0.5,0.0,0.0,5.0
74,B48B1375CD301CADFC4AA5208B5C157C,D4D75C5E7F18962D0E0CB8261805CEFC,VTS,1,,2013-01-13 15:41:00,2013-01-13 15:52:00,1,660,2.01,-73.987358,40.733162,-73.974869,40.755447,CSH,9.5,0.0,0.5,0.0,0.0,10.0
75,82C9E2C8A64C43A52302D9F44E5953DE,8094E26244731976B970FA517B031511,VTS,1,,2013-01-13 15:39:00,2013-01-13 15:48:00,1,540,1.54,-73.961105,40.768840999999995,-73.982117,40.771538,CRD,8.5,0.0,0.5,1.0,0.0,10.0
76,8C98CE7B82F16BCF3044C210CB2E5C7D,906B36FB5F5684205BDCAE0BEAFD1BC8,VTS,1,,2013-01-13 14:22:00,2013-01-13 14:33:00,1,660,1.66,-73.975578,40.781826,-73.955933,40.779590999999996,CRD,9.5,0.0,0.5,2.38,0.0,12.38
